media_type,media_series,creation_category,date,time_start,time_end,duration,media_title,video_type,video_subtype
Movies,Jurassic Park Series,Recording Video,7/5/2025,8:16:00 AM,9:07:00 AM,51,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies,Jurassic Park Series,Editing Video,7/5/2025,9:28:00 AM,9:53:00 AM,25,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies,Jurassic Park Series,Editing Video,7/5/2025,9:59:00 AM,10:08:00 AM,9,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies,Jurassic Park Series,Editing Video,7/5/2025,10:16:00 AM,10:29:00 AM,13,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies,Jurassic Park Series,Editing Video,7/6/2025,7:24:00 AM,7:53:00 AM,29,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies,Jurassic Park Series,Recording Video,7/6/2025,7:53:00 AM,8:13:00 AM,20,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies,Jurassic Park Series,Editing Video,7/6/2025,12:58:00 PM,1:48:00 PM,50,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies,Jurassic Park Series,Editing Video,7/6/2025,7:05:00 PM,7:31:00 PM,26,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies,Jurassic Park Series,Editing Video,7/6/2025,10:03:00 PM,10:11:00 PM,8,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies,Jurassic Park Series,Pictures,7/6/2025,10:11:00 PM,10:14:00 PM,3,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies,Jurassic Park Series,Uploading Video,7/6/2025,10:14:00 PM,10:16:00 PM,2,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies,Jurassic Park Series,Editing Video,7/6/2025,10:16:00 PM,10:34:00 PM,18,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies,Jurassic Park Series,Uploading Video,7/6/2025,10:36:00 PM,10:39:00 PM,3,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies,Jurassic Park Series,Pictures,7/7/2025,7:42:00 AM,7:54:00 AM,12,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies,Jurassic Park Series,Pictures,7/7/2025,8:10:00 AM,8:32:00 AM,22,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies,Jurassic Park Series,Editing Video,7/7/2025,11:14:00 AM,11:44:00 AM,30,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies,Jurassic Park Series,Editing Video,7/7/2025,11:46:00 AM,11:52:00 AM,6,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies,Jurassic Park Series,Uploading Video,7/7/2025,11:53:00 AM,12:12:00 PM,19,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies,Jurassic Park Series,Pictures,7/7/2025,12:13:00 PM,12:23:00 PM,10,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies,Jurassic Park Series,Writing Script,7/7/2025,4:41:00 PM,4:44:00 PM,3,Jurassic Park Movies,Rankings,Movie Series By Category
Movies,Jurassic Park Series,Writing Script,7/7/2025,4:59:00 PM,5:12:00 PM,13,Jurassic Park Movies,Rankings,Movie Series By Category
Movies,Jurassic Park Series,Writing Script,7/7/2025,5:20:00 PM,5:50:00 PM,30,Jurassic Park Movies,Rankings,Movie Series By Category
